20 0   0.00003453   0.00000000  -1.00000000   1.20833325
20 1   0.00002554   0.00046250  -0.51020402   2.04166675
20 2  -0.20322460   0.00131250  -0.20326121   2.56248045
20 3  -0.20322460   0.00206250  -0.20326121   2.56248045
20 4  -0.20322460   0.00271250  -0.20326121   2.56248045
20 5  -0.20322460   0.00326250  -0.20326121   2.56248045
20 6  -0.20322460   0.00371250  -0.20326121   2.56248045
20 7  -0.20322460   0.00406250  -0.20326121   2.56248045
20 8  -0.20322460   0.00431250  -0.20326121   2.56248045
20 9  -0.20322460   0.00446250  -0.20326121   2.56248045
20 10  -0.20322460   0.00451250  -0.20326121   2.56248045
20 11  -0.20322460   0.00446250  -0.20326121   2.56248045
20 12  -0.20322460   0.00431250  -0.20326121   2.56248045
20 13  -0.20322460   0.00406250  -0.20326121   2.56248045
20 14  -0.20322460   0.00371250  -0.20326121   2.56248045
20 15  -0.20322460   0.00326250  -0.20326121   2.56248045
20 16  -0.20322460   0.00271250  -0.20326121   2.56248045
20 17  -0.20322460   0.00206250  -0.20326121   2.56248045
20 18  -0.20322460   0.00131250  -0.20326121   2.56248045
20 19  -0.34244874   0.00046250   0.34245726   1.52081382
20 20  -0.75756502   0.00000000   1.00000000   0.68748045
